num_iters,frac_bits,mean,std,c95l,c95h,al,ah,mse
14,21,2.688322624031292e-06, 1.3513093920435298e-09, 4.099042777931776e-07,4.966740970269406e-06, -9.52567415604122e-05,9.664710814016875e-05,1.3585364705744084e-09
15,21,2.21038602070045e-06, 3.522070961251739e-10, 1.0471840689850704e-06,3.373587972415829e-06, -4.8950155002613904e-05,5.10910897747463e-05,3.570929024856818e-10
16,21,2.1258782782139775e-06, 8.363765705144981e-11, 1.5590428317845489e-06,2.692713724643406e-06, -2.2770265144855806e-05,2.6606216384283954e-05,8.815701550523182e-11
17,21,2.045801106019152e-06, 2.164810638957365e-11, 1.7574205146018616e-06,2.3341816974364422e-06, -1.2216658329844421e-05,1.5658967458254125e-05,2.5833408554962836e-11
18,21,2.3191652836683786e-06, 6.03699725767266e-12, 2.166876975958708e-06,2.4714535913780493e-06, -5.472412185736353e-06,9.865479475235084e-06,1.1415524870645288e-11
19,21,2.428678918726779e-06, 2.1466751500056646e-12, 2.3378677561075186e-06,2.5194900813460393e-06, -3.2302753927293537e-06,7.415690086332027e-06,8.045156440273538e-12
14,22,3.0891585671209975e-06, 1.3224196912878352e-09, 8.35227005149484e-07,5.343090129092511e-06, -9.377146068767495e-05,0.00010166685840973244,1.3319625919406521e-09
15,22,1.239892717415647e-06, 3.151511983293765e-10, 1.3958146894904474e-07,2.340203965882249e-06, -4.623084583332826e-05,4.6694285291914994e-05,3.1668853228007687e-10
16,22,4.687173968824787e-07, 8.934404606818224e-11, -1.1713590162793253e-07,1.05457069539289e-06, -2.4331432013635634e-05,2.536452489854124e-05,8.956374206632253e-11
17,22,8.516643980357453e-07, 2.0908815390688118e-11, 5.682507335718252e-07,1.1350780624996654e-06, -1.1758892790925124e-05,1.4733793198495881e-05,2.16341476375697e-11
18,22,1.1275254438473104e-06, 5.180197128090401e-12, 9.864572146556457e-07,1.2685936730389752e-06, -5.79159636504567e-06,7.645758512642153e-06,6.451510754613475e-12
19,22,1.0928354423009878e-06, 1.5332390194841873e-12, 1.0160885139113092e-06,1.1695823706906664e-06, -3.0793577234788927e-06,4.881007115709046e-06,2.727528323433383e-12
14,23,4.4100302928973267e-07, 1.3907283724182724e-09, -1.8704082529103946e-06,2.75241431148986e-06, -0.00010104545492495287,9.947715253766365e-05,1.390922856090115e-09
15,23,1.2946051030930938e-06, 3.258249464522327e-10, 1.7581597448534014e-07,2.4133942317008473e-06, -4.898134945274801e-05,4.952635667387906e-05,3.275009488251874e-10
16,23,5.81239978219239e-07, 8.962749770393616e-11, -5.541919234526279e-09,1.1680218756730044e-06, -2.4552715482406562e-05,2.5619108602437102e-05,8.996533761621647e-11
17,23,7.170878294825433e-07, 2.1925114437981338e-11, 4.268680513402721e-07,1.0073076076248145e-06, -1.1763417639309992e-05,1.2229185904710782e-05,2.2439329393173323e-11
18,23,5.979899594642513e-07, 5.6966010910028635e-12, 4.500573303684477e-07,7.459225885600549e-07, -5.521042387934827e-06,6.960852507842397e-06,6.054193082622921e-12
19,23,6.397566425881962e-07, 1.389473904432414e-12, 5.666963732808116e-07,7.128169118955809e-07, -2.9815384875453432e-06,4.028362487251691e-06,1.7987624661681352e-12
14,24,-9.281991262225509e-07, 1.379063358158532e-09, -3.2298962819539075e-06,1.3734980295088055e-06, -9.625079039599083e-05,9.876984282264356e-05,1.3799249117764521e-09
15,24,1.3699782845132401e-06, 3.4493551566434864e-10, 2.1884654705824251e-07,2.5211100219682376e-06, -5.074976152708022e-05,4.9539966266665125e-05,3.468123561643865e-10
16,24,4.5420897418357864e-07, 7.821417180466022e-11, -9.39402412721974e-08,1.0023581896393546e-06, -2.3871539419850762e-05,2.398672692116577e-05,7.842047759688915e-11
17,24,-1.344549826953756e-08, 2.04561916580316e-11, -2.9377477942563473e-07,2.668837828865596e-07, -1.2446924503972667e-05,1.264103791076554e-05,2.045637243945532e-11
18,24,1.3212396248718505e-07, 5.583904669772404e-12, -1.4338074161899108e-08,2.785859991362692e-07, -6.167837940496135e-06,6.27816483855792e-06,5.60136141123572e-12
19,24,3.295462279118144e-07, 1.4332090237488523e-12, 2.5534504338195943e-07,4.037474124416694e-07, -2.9328946694606728e-06,3.489108185150691e-06,1.5418097400797577e-12
14,25,9.877551118910865e-07, 1.3975725423599716e-09, -1.3293367461780031e-06,3.304846969960176e-06, -0.00010089461953066703,9.995723615174867e-05,1.3985482025210386e-09
15,25,1.400383530419491e-06, 3.503912841444428e-10, 2.40183910884434e-07,2.560583149954548e-06, -4.9872554079954945e-05,5.040354802354763e-05,3.52352358176713e-10
16,25,7.093233508544961e-07, 8.61040412186808e-11, 1.3419094458122395e-07,1.2844557571277682e-06, -2.52660652247938e-05,2.383085776869187e-05,8.660718083474827e-11
17,25,7.285881651963866e-08, 2.230978575937043e-11, -2.1989581277458352e-07,3.656134458138608e-07, -1.2326260047434978e-05,1.2201525767085997e-05,2.2315094166515072e-11
18,25,1.328017762781686e-07, 4.806320575559239e-12, -3.080382679762212e-09,2.686839352360994e-07, -5.991556960571742e-06,6.572762407786037e-06,4.8239568873418754e-12
19,25,1.1925040498350636e-07, 1.3172412006019636e-12, 4.811452236276071e-08,1.90386287604252e-07, -3.065040160121768e-06,3.2226677666447046e-06,1.3314618596906938e-12
