num_iters,frac_bits,mean,std,c95l,c95h,al,ah,mse
16,15,0.00012816462865839485, 3.7191955434648293e-09, 0.00011621152797289299,0.0001401177293438967, -8.285376454653104e-05,0.00029975617020028267,2.0145367582609074e-08
17,15,0.0001332052696105468, 2.737480751852826e-09, 0.0001229503653904588,0.00014346017383063477, -1.034405744815281e-05,0.0002976789546569325,2.048112460387129e-08
18,15,0.00015024430153323998, 2.1949797621244107e-09, 0.00014106158175412382,0.00015942702131235614, -2.2447540837688962e-05,0.0002766344116171826,2.476832990533555e-08
19,15,0.00016900714870922483, 4.984605761231834e-09, 0.00015516920757177658,0.00018284508984667307, -6.203477604305174e-05,0.0003889573103419419,3.3548022076053875e-08
20,15,0.0001722921559285795, 4.402043235090477e-09, 0.00015928796841381199,0.00018529634344334703, -4.95659930432879e-06,0.00035573156348978063,3.4086630229608424e-08
21,15,0.0001804472011032987, 4.541867328687754e-09, 0.00016723809911645384,0.00019365630309014356, 9.0888670181144e-06,0.0004389108159663646,3.710305971470208e-08
22,15,0.00017857751031594927, 6.446752149737005e-09, 0.0001628403431444315,0.00019431467748746704, 1.2741572048002858e-05,0.00036511470678524116,3.833667934037997e-08
23,15,0.00021266047324153492, 8.994407811179396e-09, 0.00019407205828828332,0.00023124888819478652, -1.9776934044868355e-06,0.0004626160684420011,5.421888469049298e-08
24,15,0.00019945876044341948, 1.1613130701475895e-08, 0.00017833697005936592,0.00022058055082747305, -4.1030689476695414e-05,0.00044045873932652135,5.1396927819101295e-08
25,15,0.00021734766469881704, 1.1767686389461738e-08, 0.0001960857870691823,0.0002386095423284518, -1.9219812415038895e-05,0.0004312328222558781,5.900769373949114e-08
26,15,0.00022652835807915884, 1.1338985819327304e-08, 0.0002056573619545059,0.00024739935420381177, -3.9956335031066104e-05,0.0004416413027089616,6.26540828333669e-08
27,15,0.0002506651533557169, 1.4744285940074634e-08, 0.0002268656472962646,0.0002744646594151692, -6.752354801187188e-06,0.00048676264122682333,7.757730504691971e-08
28,15,0.0002297002925039282, 1.5867093789688558e-08, 0.00020501122052815973,0.00025438936447969663, -3.227677614903168e-05,0.0004384620449345844,6.862931816607873e-08
29,15,0.0002471747935734081, 2.01645428815814e-08, 0.00021934241891117653,0.0002750071682356397, -3.328569436600315e-05,0.000553100184087274,8.12599214596383e-08
10,20,5.7820220787950794e-05, 4.1029560070663495e-07, -6.772624788698283e-05,0.0001833666894628844, -0.0014628205999318578,0.0013334067698069774,4.1363877863860234e-07
11,20,-3.0372173897641463e-06, 1.0205787266842259e-07, -6.565235323110943e-05,5.957791845158114e-05, -0.0007737629459307893,0.0007575794021825732,1.0206709735789529e-07
12,20,5.725161474583462e-06, 1.95866545088242e-08, -2.1705495090854235e-05,3.315581804002116e-05, -0.0002752501063409962,0.00038081538031864426,1.9619431982734253e-08
13,20,6.441809060027115e-06, 5.345672759659027e-09, -7.888556069133453e-06,2.077217418918768e-05, -0.00016913834403231576,0.00018721640982755083,5.387169663624875e-09
14,20,6.566268736261094e-06, 1.4098182906255105e-09, -7.930504885496914e-07,1.3925587961071878e-05, -9.355593986137833e-05,0.0001042338355277117,1.4529341757423102e-09
15,20,5.151306076969231e-06, 3.5642570774846074e-10, 1.450975012204232e-06,8.85163714173423e-06, -3.733656738136304e-05,5.632501291186198e-05,3.8296166204708077e-10
16,20,4.0205065833198716e-06, 1.0543745231830319e-10, 2.007924866156582e-06,6.033088300483161e-06, -2.0079713326959236e-05,2.7987271879359454e-05,1.2160192550482165e-10
17,20,4.706291757499148e-06, 2.5895994806420786e-11, 3.7088848513252128e-06,5.703698663673083e-06, -1.0704688408247343e-05,1.749558266705975e-05,4.80451769131252e-11
18,20,4.902318280100015e-06, 8.264989080588837e-12, 4.3388399570742745e-06,5.4657966031257555e-06, -1.3336068171998505e-06,1.1989601013007167e-05,3.229771359999161e-11
19,20,5.489629067754187e-06, 4.323402445887903e-12, 5.082090323140586e-06,5.897167812367787e-06, 4.000047626462333e-07,1.1935560815468094e-05,3.445942974741961e-11
20,20,5.921491773456245e-06, 3.5288831092874522e-12, 5.553299468367739e-06,6.28968407854475e-06, 9.422208693266043e-07,1.281376810613466e-05,3.859294793239742e-11
21,20,5.6743043780893565e-06, 3.902553068804331e-12, 5.28710871864676e-06,6.061500037531953e-06, 5.526642314901409e-07,1.0659789302924771e-05,3.610028324400837e-11
22,20,6.279678273226619e-06, 2.220770991762178e-12, 5.987594144216609e-06,6.571762402236629e-06, 3.2340016959953033e-06,1.0100450906658232e-05,4.165513020699663e-11
23,20,6.6260491279945825e-06, 5.65248342753775e-12, 6.160060068732147e-06,7.092038187257018e-06, -1.197729773694256e-06,1.3244491807840042e-05,4.9557010474135514e-11
24,20,6.94358938953199e-06, 4.933779225820555e-12, 6.508231992972425e-06,7.378946786091556e-06, 1.3168261346896415e-06,1.3380396989393084e-05,5.3147212836241786e-11
25,20,6.915770230557783e-06, 5.579769322229379e-12, 6.452788137726144e-06,7.378752323389421e-06, -6.658325309993884e-07,1.0826463617830129e-05,5.340764720409862e-11
26,20,7.436890035958932e-06, 5.730034504942685e-12, 6.967715222545128e-06,7.906064849372737e-06, 1.9727019228144016e-06,1.4124754951883034e-05,6.103736791188792e-11
27,20,8.115454719981318e-06, 8.30571723354329e-12, 7.550589750945533e-06,8.680319689017104e-06, 1.0865911135304884e-06,1.514410097325225e-05,7.416632254561036e-11
28,20,7.873415275800878e-06, 9.100506621532792e-12, 7.282141174919735e-06,8.46468937668202e-06, 4.537315689834287e-08,1.553220982275505e-05,7.109117472674738e-11
29,20,7.755807804527005e-06, 9.614475265127999e-12, 7.148066344870715e-06,8.363549264183294e-06, 2.289999856408542e-09,1.4165336740923351e-05,6.976702996588999e-11
